Day,Trial,Participant,# User-typed commands,# Button commands,% User_typed_commands,% Button commands
1,1,8,4,16,20.0,80.0
1,1,14,7,20,25.926,74.074
1,2,13,6,17,26.087,73.913
2,3,2,6,24,20.0,80.0
2,3,4,6,24,20.0,80.0
2,3,5,2,19,9.524,90.476
2,3,16,3,23,11.538,88.462
2,4,22,5,25,16.667,83.333
2,4,7,6,19,24.0,76.0
2,4,18,3,22,12.0,88.0
2,4,13,5,2,71.429,28.571
2,4,12,6,22,21.429,78.571
2,4,6,4,25,13.793,86.207
3,5,4,9,16,36.0,64.0
3,5,1,5,13,27.778,72.222
3,5,18,3,2,60.0,40.0
3,5,20,7,13,35.0,65.0
3,5,10,25,20,55.556,44.444
3,5,22,9,11,45.0,55.0
4,6,16,7,11,38.889,61.111
4,6,8,6,17,26.087,73.913
4,6,2,7,13,35.0,65.0
4,6,5,4,8,33.333,66.667
4,6,4,6,8,42.857,57.143
4,6,1,12,10,54.545,45.455
4,6,17,19,11,63.333,36.667
4,7,18,8,13,38.095,61.905
4,7,13,6,10,37.5,62.5
4,7,22,11,13,45.833,54.167
4,7,11,11,20,35.484,64.516
4,7,10,19,14,57.576,42.424
4,7,20,4,11,26.667,73.333
4,7,7,10,11,47.619,52.381
5,8,6,7,13,35.0,65.0
5,8,5,8,9,47.059,52.941
5,8,4,10,15,40.0,60.0
5,8,1,5,10,33.333,66.667
5,8,2,7,6,53.846,46.154
5,8,16,3,2,60.0,40.0
5,8,8,5,11,31.25,68.75
5,9,11,7,20,25.926,74.074
5,9,11,13,15,46.429,53.571
5,9,10,13,17,43.333,56.667
5,9,19,14,20,41.176,58.824
5,9,23,2,18,10.0,90.0
6,10,6,6,14,30.0,70.0
6,10,5,8,11,42.105,57.895
6,10,4,8,10,44.444,55.556
6,10,2,14,8,63.636,36.364
6,10,1,11,16,40.741,59.259
6,11,16,3,2,60.0,40.0
6,11,17,3,1,75.0,25.0
6,11,8,6,0,100.0,0.0
6,11,12,9,21,30.0,70.0
6,11,15,17,21,44.737,55.263
6,11,22,7,13,35.0,65.0
6,11,7,9,13,40.909,59.091
6,11,12,8,17,32.0,68.0
6,11,10,11,7,61.111,38.889
7,12,16,6,16,27.273,72.727
7,12,21,5,11,31.25,68.75
7,12,2,5,12,29.412,70.588
7,12,5,14,15,48.276,51.724
7,12,4,4,12,25.0,75.0
7,12,1,17,10,62.963,37.037
7,13,17,20,13,60.606,39.394
7,13,8,8,13,38.095,61.905
7,13,15,12,15,44.444,55.556
7,13,22,11,9,55.0,45.0
7,13,11,11,12,47.826,52.174
7,13,10,11,13,45.833,54.167
7,13,20,3,3,50.0,50.0
7,13,3,6,17,26.087,73.913
7,13,6,15,17,46.875,53.125
8,14,2,22,32,40.741,59.259
8,14,23,4,12,25.0,75.0
8,14,10,19,17,52.778,47.222
8,14,17,10,16,38.462,61.538
8,14,12,13,23,36.111,63.889
8,14,15,6,15,28.571,71.429
8,14,22,3,9,25.0,75.0
8,14,11,5,12,29.412,70.588
8,14,21,10,20,33.333,66.667
8,14,22,4,16,20.0,80.0
